355,Vertical stab misc structure,32,,,
356,Rudder,32,,,
357,Spars/ribs (on rudder),32,,,
358,Plates/skins (on rudder),32,,,
359,Tab structure (on rudder),32,,,
360,Rudder misc structure,32,,,
361,Attach fittings (flt controls),32,,,
362,Horizontal stab attach fitting,32,,,
363,Elevator/tab attach fitting,32,,,
364,Vertical stab attach fitting,32,,,
365,Rudder/tab attach fitting,32,,,
366,Stabilizer sys wiring,32,,,
367,windshield system,33,,,
368,(general),34,,,
369,Main frame (on wing),34,,,
370,Spar (on wing),34,,,
371,Ribs/bulkheads (on wing),34,,,
372,Longerons/stringers (on wing),34,,,
373,Center wing box (on wing),34,,,
374,Wing auxiliary structure,34,,,
375,Plates/skins (on wing),34,,,
376,Attach fittings (on wing),34,,,
377,Fus (attach fitting on wing),34,,,
378,Nac/pylon (fitting on wing),34,,,
379,Landing gear (fitting on wing),34,,,
380,Cont surface (fitting on wing),34,,,
381,Flight surfaces (wing),34,,,
382,Ailerons,34,,,
383,Aileron tabs,34,,,
384,Trailing edge flaps,34,,,
385,Leading edge devices,34,,,
386,Spoilers,34,,,
387,Wing wiring,34,,,
388,(general),35,,,
389,(general),36,,,
390,Propeller assembly,36,,,
391,Propeller blade section,36,,,
392,Prop deice boot section,36,,,
393,Prop/spinner section,36,,,
394,Propeller hub section,36,,,
395,Propeller controlling system,36,,,
396,Prop synchronizer section,36,,,
397,Propeller governor,36,,,
398,Propeller feather/reversing,36,,,
399,Propeller braking,36,,,
400,Propeller indicating system,36,,,
401,Propeller/propulsor wiring,36,,,
402,(general),37,,,
403,Main rotor blade system,37,,,
404,Main rotor head system,37,,,
405,Main rotor mast/swashplate,37,,,
406,Main rotor indicating system,37,,,
407,Main rotor sys wiring,37,,,
408,(general),38,,,
409,Engine/transmission coupling,38,,,
410,Main rotor gearbox,38,,,
411,Main rotor brake,38,,,
412,Rotorcraft cooling fan system,38,,,
413,Main rotor trans mount,38,,,
414,Rotor/drive indicating system,38,,,
415,Main rotor drive wiring,38,,,
416,(general),39,,,
417,Tail rotor blade,39,,,
418,Tail rotor head,39,,,
419,Tail rotor indicating system,39,,,
420,Tail rotor system wiring,39,,,
421,(general),40,,,
422,Tail rotor drive shaft,40,,,
423,Tail rotor gearbox,40,,,
424,Tail rotor drive ind system,40,,,
425,Tail rotor drive system wiring,40,,,
426,(general),41,,,
427,Main rotor control,41,,,
428,Tilt rotor flight control,41,,,
429,Tail rotor control system,41,,,
430,Rotorcraft servo system,41,,,
431,Rotors flt cntl sys wiring,41,,,
432,(general),42,,,
433,(general),43,,,
